IR_value,BPM,AvgBPM
1841,0.94,62
1833,0.94,62
1844,0.94,62
1845,0.94,62
1835,0.94,62
1852,0.94,62
1836,0.94,62
1845,0.94,62
1845,0.94,62
1842,0.94,62
1840,0.94,62
1847,0.94,62
1852,0.94,62
1847,0.94,62
1838,0.94,62
1842,0.94,62
1829,0.94,62
1849,0.94,62
1856,0.94,62
1855,0.94,62
1846,0.94,62
1848,0.94,62
1853,0.94,62
1858,0.94,62
1834,0.94,62
1850,0.94,62
1845,0.94,62
1850,0.94,62
1853,0.94,62
1854,0.94,62
1836,0.94,62
1848,0.94,62
1848,0.94,62
1850,0.94,62
1853,0.94,62
1847,0.94,62
1858,0.94,62
1849,0.94,62
1842,0.94,62
1851,0.94,62
1853,0.94,62
1846,0.94,62
1852,0.94,62
1849,0.94,62
1852,0.94,62
1856,0.94,62
1863,0.94,62
1855,0.94,62
1854,0.94,62
1855,0.94,62
1844,0.94,62
1853,0.94,62
1855,0.94,62
1855,0.94,62
1853,0.94,62
1847,0.94,62
1858,0.94,62
1854,0.94,62
1845,0.94,62
1849,0.94,62
1855,0.94,62
1839,0.94,62
1857,0.94,62
1858,0.94,62
1862,0.94,62
1848,0.94,62
1859,0.94,62
1859,0.94,62
1857,0.76,62
1854,0.76,62
1863,0.76,62
1859,0.76,62
1851,0.76,62
1851,0.76,62
1849,0.76,62
1862,0.76,62
1858,0.76,62
0,0.76,62
1855,0.76,62
1857,0.76,62
1861,0.76,62
1866,0.76,62
1857,0.76,62
1854,0.76,62
1853,3.15,62
1857,3.15,62
1856,3.15,62
1859,3.15,62
1846,3.15,62
1853,3.15,62
1853,3.15,62
1857,3.15,62
1854,3.15,62
1859,3.15,62
1858,3.15,62
1852,3.15,62
1854,3.15,62
1851,3.15,62
1864,3.15,62
1861,3.15,62
1864,3.17,62
1858,3.17,62
1853,3.17,62
1859,3.17,62
1855,3.17,62
1860,3.17,62
1856,3.17,62
1853,3.17,62
1854,6.6,62
1864,6.6,62
1852,6.6,62
1851,6.6,62
1862,6.6,62
1849,6.6,62
1859,6.6,62
1855,6.6,62
1852,6.6,62
1853,6.6,62
1860,6.6,62
1859,6.6,62
1851,6.6,62
1852,6.6,62
1866,6.6,62
1859,3.67,62
1849,3.67,62
1852,3.67,62
1844,3.67,62
1847,3.67,62
1849,3.67,62
1843,3.67,62
1863,3.67,62
1866,3.67,62
1852,3.67,62
1861,3.67,62
1856,3.67,62
1865,3.67,62
